iter	Passed	Remaining
0	2	2891
1	13	6878
2	19	6536
3	24	6084
4	31	6197
5	35	5858
6	39	5619
7	43	5437
8	47	5275
9	51	5139
10	56	5056
11	60	4994
12	64	4931
13	69	4872
14	73	4805
15	77	4756
16	82	4742
17	86	4710
18	90	4663
19	94	4629
20	98	4596
21	103	4594
22	107	4570
23	111	4546
24	115	4516
25	120	4496
26	124	4488
27	128	4462
28	132	4445
29	136	4426
30	141	4412
31	145	4396
32	149	4385
33	153	4371
34	157	4353
35	162	4339
36	166	4327
37	170	4324
38	174	4307
39	179	4301
40	183	4294
41	188	4293
42	192	4280
43	196	4271
44	201	4279
45	206	4280
46	210	4274
47	215	4270
48	220	4270
49	227	4318
50	231	4307
51	236	4302
52	242	4324
53	247	4331
54	251	4321
55	257	4338
56	261	4328
57	265	4316
58	269	4302
59	274	4297
60	278	4292
61	283	4285
62	287	4275
63	291	4267
64	295	4256
65	300	4246
66	304	4236
67	308	4229
68	312	4220
69	317	4212
70	321	4206
71	325	4198
72	329	4189
73	334	4181
74	338	4172
75	341	4156
76	345	4146
77	350	4144
78	354	4136
79	359	4131
80	363	4122
81	366	4105
82	370	4098
83	374	4081
84	378	4075
85	382	4069
86	387	4063
87	390	4048
88	394	4034
89	398	4031
90	402	4024
91	407	4017
92	410	4008
93	415	4002
94	419	3996
95	423	3989
96	427	3984
97	433	3987
98	437	3980
99	442	3978
100	446	3971
101	450	3964
102	453	3950
103	456	3936
104	460	3927
105	464	3913
106	467	3900
107	470	3888
108	474	3875
109	477	3866
110	481	3854
111	484	3841
112	487	3828
113	491	3816
114	494	3804
115	497	3794
116	501	3784
117	504	3773
118	508	3766
119	512	3756
120	515	3748
121	519	3738
122	522	3728
123	526	3720
124	529	3709
125	533	3700
126	537	3691
127	540	3682
128	544	3674
129	547	3666
130	551	3657
131	554	3648
132	558	3638
133	561	3629
134	565	3621
135	568	3613
136	572	3605
137	576	3597
138	580	3593
139	584	3591
140	588	3586
141	592	3579
142	599	3590
143	603	3588
144	608	3586
145	612	3584
146	617	3581
147	621	3578
148	626	3579
149	631	3579
150	634	3569
151	639	3569
152	643	3564
153	647	3558
154	651	3550
155	654	3543
156	659	3539
157	662	3530
158	665	3522
159	669	3515
160	673	3507
161	676	3500
162	680	3492
163	683	3484
164	687	3477
165	690	3469
166	694	3461
167	697	3454
168	700	3446
169	704	3438
170	707	3431
171	711	3424
172	714	3416
173	718	3409
174	721	3402
175	725	3396
176	728	3389
177	732	3381
178	735	3374
179	739	3366
180	742	3360
181	746	3353
182	749	3346
183	753	3339
184	756	3332
185	759	3325
186	763	3320
187	767	3312
188	770	3306
189	774	3300
190	777	3292
191	780	3286
192	784	3279
193	788	3277
194	793	3274
195	796	3268
196	801	3266
197	805	3264
198	810	3260
199	814	3257
200	819	3256
201	823	3252
202	826	3246
203	830	3241
204	835	3239
205	839	3237
206	843	3230
207	846	3223
208	850	3217
209	853	3211
210	857	3205
211	861	3200
212	864	3193
213	867	3187
214	871	3180
215	874	3174
216	877	3167
217	881	3161
218	885	3158
219	889	3152
220	892	3147
221	897	3145
222	901	3140
